Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Denae Benites,24,NYH,Wmn,,13,56,48,20,26,1,0,9,30,12,0,6,5,.542,.589,1.125,1.714,54,,1,0,1,2,player.fcgi?id=benite000den
2,Suzuka Yamamoto*,27,BOS,Wmn,,7,19,15,1,8,2,0,0,3,2,2,3,2,.533,.632,.667,1.298,10,,1,0,0,0,player.fcgi?id=yamamo000suz
3,Kelsie Whitmore#,27,SFF,Wmn,,13,55,44,20,21,2,0,10,28,1,0,9,4,.477,.564,1.205,1.768,53,,1,0,1,2,player.fcgi?id=whitmo000kel
4,Ashton Lansdell,25,LAQ,Wmn,,13,52,38,18,18,3,0,4,11,6,0,11,9,.474,.615,.868,1.484,33,,3,0,0,1,player.fcgi?id=lansde000ash
5,Elodie Ciamarro,19,NYH,Wmn,,8,24,24,5,11,2,0,0,3,1,1,0,4,.458,.458,.542,1.000,13,,0,0,0,0,player.fcgi?id=ciamar000elo
6,Skylar Kaplan*,24,SFF,Wmn,,12,50,44,14,20,4,0,1,10,0,0,6,0,.455,.520,.614,1.134,27,,0,0,0,0,player.fcgi?id=kaplan000sky
7,Claire O'Sullivan,31,NYH,Wmn,,11,26,20,5,9,0,0,1,6,4,0,3,1,.450,.500,.600,1.100,12,,1,0,2,0,player.fcgi?id=osulli000cla
8,Alexia Jorge,22,SFF,Wmn,,11,45,34,14,15,1,0,2,9,1,1,5,4,.441,.578,.647,1.225,22,,6,0,0,0,player.fcgi?id=jorge-001ale
9,Samantha Gutierrez,23,SFF,Wmn,,6,21,16,6,7,1,0,1,9,0,0,3,1,.438,.571,.688,1.259,11,,2,0,0,0,player.fcgi?id=gutier002sam
10,Samaria Benítez,23,LAQ,Wmn,,12,42,38,8,16,0,0,0,3,0,1,3,5,.421,.476,.421,.897,16,,1,0,0,0,player.fcgi?id=benite000sam
11,Andréanne Leblanc#,24,SFF,Wmn,,13,56,46,11,19,3,0,1,12,0,0,9,1,.413,.518,.543,1.061,25,,1,0,0,0,player.fcgi?id=leblan002and
12,Natsuki Yonetani,24,NYH,Wmn,,13,58,49,19,20,6,0,1,10,4,0,7,6,.408,.500,.592,1.092,29,,2,0,0,0,player.fcgi?id=yoneta000nat
13,Jill Albayati,22,SFF,Wmn,,9,39,32,11,13,6,0,1,7,0,0,6,4,.406,.513,.688,1.200,22,,1,0,0,0,player.fcgi?id=albaya000jil
14,London Studer*,19,NYH,Wmn,,12,39,36,7,14,0,0,0,8,2,0,2,2,.389,.410,.389,.799,14,,0,0,1,0,player.fcgi?id=studer000lon
15,Caitlin Eynon*,23,LAQ,Wmn,,10,34,31,7,12,4,0,1,8,0,0,2,7,.387,.412,.613,1.025,19,,0,0,1,0,player.fcgi?id=eynon-000cai
16,Alli Schroder,24,BOS,Wmn,,10,17,13,5,5,1,0,0,2,0,0,3,4,.385,.529,.462,.991,6,,1,0,0,0,player.fcgi?id=schrod000all
17,Jamie Mackay,23,LAQ,Wmn,,13,46,40,14,15,2,0,5,17,1,0,2,3,.375,.457,.800,1.257,32,,4,0,0,0,player.fcgi?id=mackay000jam
18,Jua Park,21,SFF,Wmn,,12,43,35,11,13,1,0,0,9,3,0,6,2,.371,.488,.400,.888,14,,2,0,0,0,player.fcgi?id=park--000jua
19,Ayuri Shimano*,22,LAQ,Wmn,,6,20,14,5,5,1,0,0,2,0,0,4,6,.357,.500,.429,.929,6,,1,0,1,0,player.fcgi?id=shiman000ayu
20,Michelle Roche,20,LAQ,Wmn,,10,19,17,4,6,3,0,0,3,0,0,2,2,.353,.421,.529,.950,9,,0,0,0,0,player.fcgi?id=roche-003mic
21,Jordan Eyster*,21,SFF,Wmn,,9,24,20,5,7,2,0,0,6,0,0,3,5,.350,.417,.450,.867,9,,0,0,1,0,player.fcgi?id=eyster000jor
22,Joely Leguizamon,26,SFF,Wmn,,13,55,47,10,16,4,0,0,13,2,2,6,9,.340,.426,.426,.851,20,,1,1,0,0,player.fcgi?id=leguiz000joe
23,Sarah Edwards#,30,LAQ,Wmn,,11,41,33,6,11,1,0,1,10,0,1,7,6,.333,.463,.455,.918,15,,1,0,0,0,player.fcgi?id=edward000sar
24,Adelaide Frank,18,LAQ,Wmn,,7,17,15,2,5,0,0,0,4,0,0,2,1,.333,.412,.333,.745,5,,0,0,0,0,player.fcgi?id=frank-000ade
25,Lexi Hastings*,23,BOS,Wmn,,10,32,24,7,8,3,0,2,6,5,1,7,7,.333,.500,.708,1.208,17,,1,0,0,0,player.fcgi?id=hastin000lex
26,Kylee Lahners,33,NYH,Wmn,,12,44,28,7,9,3,0,1,12,0,0,9,6,.321,.545,.536,1.081,15,,6,0,1,0,player.fcgi?id=lahner000kyl
27,Amanda Gianelloni,29,SFF,Wmn,,13,56,41,15,13,1,0,1,11,2,0,9,7,.317,.436,.415,.851,17,,2,1,3,0,player.fcgi?id=gianel000ama
28,Denver Bryant,23,BOS,Wmn,,12,43,38,8,12,1,0,1,8,4,0,5,5,.316,.395,.421,.816,16,,0,0,0,0,player.fcgi?id=bryant001den
29,Maggie Foxx,20,LAQ,Wmn,,13,46,39,11,12,3,0,0,5,1,0,7,2,.308,.413,.385,.798,15,,0,0,0,0,player.fcgi?id=foxx--000mag
30,Alyssa Zettlemoyer,19,NYH,Wmn,,12,33,26,3,8,2,0,0,2,2,0,2,4,.308,.424,.385,.809,10,,4,0,1,0,player.fcgi?id=zettle000aly
